A,B,C,D
0.11454265038906333,0.42505102840744696,1.4991616638603555,0.668994073159884
0.11454265038906333,0.42505102840744696,1.4991616638603555,1.421866071862577
0.11454265038906333,0.42505102840744696,1.4991616638603555,1.421866071862577
0.7526719975128419,0.42505102840744696,1.4991616638603555,1.421866071862577
0.7526719975128419,0.42505102840744696,1.4991616638603555,1.6198675934248319
0.7526719975128419,1.0318658164575025,1.4991616638603555,1.6198675934248319
1.252835588582649,2.1871504745259434,1.4991616638603555,1.6198675934248319
1.252835588582649,2.1871504745259434,1.4991616638603555,1.6198675934248319
1.252835588582649,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.252835588582649,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.1871504745259434,1.8570395242447004,1.6198675934248319
1.588990603489715,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.5426429671533355,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.6125009780695017,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.6125009780695017,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.6125009780695017,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.6125009780695017,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.6125009780695017,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.6125009780695017,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.6125009780695017,1.8570395242447004,1.6198675934248319
1.5958223872472477,2.6125009780695017,1.8570395242447004,1.8042483858910245
1.5958223872472477,2.6125009780695017,1.8570395242447004,2.2275298080560124
1.5958223872472477,2.6125009780695017,1.8570395242447004,2.980727271166477
1.5958223872472477,2.6125009780695017,1.8570395242447004,2.980727271166477
1.5958223872472477,2.6125009780695017,1.8570395242447004,2.980727271166477
